ID,airport_name,type,country,lat,long,elevation,service
DNIL,General Tunde Idiagbon International Airport,large_airport,NG,8.44021,4.49392,1126.0,yes
DNJA,Jalingo Airport,small_airport,NG,8.901997,11.283454,685.0,no
DNKA,Kaduna International Airport,large_airport,NG,10.696,7.32011,2073.0,yes
DNKN,Mallam Aminu Kano International Airport,large_airport,NG,12.045613,8.523566,1562.0,yes
DNMA,Maiduguri International Airport,large_airport,NG,11.854163,13.080702,1099.0,yes
DNMK,Makurdi Airport,medium_airport,NG,7.70388,8.61394,371.0,yes
DNMM,Murtala Muhammed International Airport,large_airport,NG,6.57737,3.32116,135.0,yes
DNMN,Minna Airport,medium_airport,NG,9.652170181274414,6.462259769439697,834.0,no
DRRC,Dogondoutchi Airport,small_airport,NE,13.663003,4.099674,961.0,no
DRRD,Dosso Airport,small_airport,NE,13.049743,3.223241,738.0,no
DRRG,Gaya Airport,small_airport,NE,11.890026,3.428024,662.0,no
DRRI,Bilma Airport,small_airport,NE,18.68670082092285,12.91919994354248,1715.0,no
DRRM,Maradi Airport,medium_airport,NE,13.5025,7.12675,1240.0,no
DRRN,Diori Hamani International Airport,large_airport,NE,13.4815,2.18361,732.0,yes
DRRP,La Tapoa Airport,small_airport,NE,12.484498,2.398452,722.0,no
DRZA,Mano Dayak International Airport,medium_airport,NE,16.966,8.00011,1657.0,no
DRZD,Dirkou Airport,small_airport,NE,18.963931,12.864132,1273.0,no
DRZF,Diffa Airport,small_airport,NE,13.3729,12.6267,994.0,no
DRZG,Goure Airport,small_airport,NE,13.890296,10.177106,1378.0,no
DRZI,Iferouane Airport,small_airport,NE,19.066198,8.41496,2162.0,no
DRZL,Arlit Airport,small_airport,NE,18.7903995514,7.36595010757,1443.0,no
DRZM,Maine-Soroa Airport,small_airport,NE,13.2055,12.0323,944.0,no
DXAK,Akpaka Airport,small_airport,TG,7.583,1.117,689.0,no
DXDP,Djangou Airport,small_airport,TG,10.800417,0.242372,886.0,no
DXKP,Kolokope Airport,small_airport,TG,7.803451,1.295966,591.0,no
DXXX,Lomé–Tokoin International Airport,large_airport,TG,6.16561,1.25451,72.0,yes
GA1A,Kayes Airport,small_airport,ML,14.431300163269045,-11.43970012664795,161.0,no
GAAO,Ansongo Airport,small_airport,ML,15.700633,0.494052,853.0,no
GABD,Bandiagara Airport,small_airport,ML,14.336931,-3.609778,1312.0,no
GABF,Bafoulabé Airport,small_airport,ML,13.80694,-10.84779,380.0,no
GABG,Bougouni Airport,small_airport,ML,11.441892,-7.506888,1139.0,no
GABR,Bourem Airport,small_airport,ML,17.0262,-0.4063,941.0,no
GABS,Modibo Keita International Airport,large_airport,ML,12.5335,-7.94994,1247.0,yes
GADA,Dioila Airport,small_airport,ML,12.511918,-6.801277,1050.0,no
GADZ,Douentza Airport,small_airport,ML,15.003552,-2.919188,984.0,no
GAFD,Faladie Airport,small_airport,ML,13.15064,-8.333459,1115.0,no
GAGM,Goundam Airport,small_airport,ML,16.358426,-3.604536,866.0,no
GAGO,Gao International Airport,medium_airport,ML,16.248466,-0.005389,870.0,yes
GAKA,Kenieba Airport,small_airport,ML,12.839046,-11.253397,449.0,no
GAKL,Kidal Airport,small_airport,ML,18.433001,1.417,1496.0,no
GAKN,Kolokani Airport,small_airport,ML,13.523992,-8.045983,1457.0,no
GAKO,Koutiala Airport,closed,ML,12.351048,-5.429471,1240.0,no
GAKT,Kita Airport,closed,ML,13.067,-9.483,1122.0,no
GAKY,Kayes Dag Dag Airport,medium_airport,ML,14.482521,-11.399335,164.0,yes
GAMB,Mopti Airport,medium_airport,ML,14.5128,-4.07956,906.0,yes
GAMK,Menaka Airport,small_airport,ML,15.929102,2.346997,899.0,no
GH-0001,Kpong Airfield,small_airport,GH,6.114864,0.057761,89.0,no
GH-0002,Ajena Airstrip,small_airport,GH,6.322619,0.087893,485.0,no
GH-0004,Ghana Police Headquarters Heliport,heliport,GH,5.571424,-0.187866,553.0,no
GH-0006,Anglogold Ashanti Obuasi Mine Helipad,heliport,GH,6.171862,-1.693507,553.0,no
GH-0009,Komfo Anokye Hospital Helipad,heliport,GH,6.695823,-1.627837,553.0,no
GN-0001,Kiniéro Airport,small_airport,GN,10.42242,-9.77592,1375.0,no
GN-0003,Loila Airport,small_airport,GN,10.784886,-8.868887,1242.0,no
GO66,Dodji Airport,small_airport,SN,15.543899536132812,-14.95829963684082,66.0,no
GOBD,Blaise Diagne International Airport,large_airport,SN,14.670878,-17.072829,290.0,yes
GODK,Kolda Airport,small_airport,SN,12.898604,-14.968322,121.0,no
GOGS,Cap Skirring Airport,medium_airport,SN,12.39533,-16.748,52.0,yes
GOOG,Linguère Airport,small_airport,SN,15.402134,-15.080629,66.0,no
GOOK,Kaolack Airport,medium_airport,SN,14.146900177001951,-16.051300048828125,26.0,no
GOOY,Léopold Sédar Senghor International Airport,large_airport,SN,14.742337,-17.479222,85.0,yes
GOTB,Bakel Airport,medium_airport,SN,14.847299575805664,-12.468299865722656,98.0,no
GOTK,Kédougou Airport,medium_airport,SN,12.57229995727539,-12.22029972076416,584.0,no
GUBE,Beyla Airport,small_airport,GN,8.697222,-8.713889,2190.0,no
GUCY,Ahmed Sékou Touré International Airport,large_airport,GN,9.57689,-13.612,72.0,yes
GUFA,Fria Airport,small_airport,GN,10.3506,-13.5692,499.0,no
GUFH,Faranah Airport,small_airport,GN,10.0354995728,-10.7698001862,1476.0,no
GUGO,Gbenko Airport,small_airport,GN,9.24284,-9.29997,2133.0,no
GUKR,Kawass Airport,small_airport,GN,10.657484,-14.532337,36.0,no
GUKU,Kissidougou Airport,small_airport,GN,9.1605596542358,-10.124400138855,1808.0,no
GUMA,Macenta Airport,small_airport,GN,8.481456,-9.526048,1690.0,no
GUOK,Boké Baralande Airport,small_airport,GN,10.9658,-14.2811,164.0,no
GUXN,Kankan Airport,closed,GN,10.394,-9.3038,1267.0,no
GXUD,Kankan Airport,small_airport,GN,10.448438,-9.228757,1234.0,no
KTC,Katiola Airport,small_airport,CI,8.132858,-5.06487,1026.0,no
ML-0001,Manantali Bengassi Airport,small_airport,ML,13.2556,-10.5043,538.0,no
ML-0004,Léré Heliport,heliport,ML,15.73166,-4.90416,883.0,no
ML-0005,Ansongo Heliport,heliport,ML,15.705131,0.489117,833.0,no
ML-0006,Aguelhok Heliport,heliport,ML,19.463672,0.865674,1391.0,no
ML-0007,Ménaka Heliport,heliport,ML,15.930603,2.376193,947.0,no
ML-0008,Ke-Macina Airport,closed,ML,13.966876,-5.382999,902.0,no
ML-0009,Markala Airport,closed,ML,13.7,-6.067,1251.0,no
ML-0010,Morila Airport,closed,ML,11.912778,-6.2775,1053.0,no
NE-0002,Kourou Arkenné Airfield,small_airport,NE,22.782036,14.024777,1117.0,no
NE-0003,Madama Military Base,small_airport,NE,21.951146,13.650711,1808.0,no
NE-0004,Fachi Airport,small_airport,NE,18.1016,11.56553,1117.0,no
NE-0005,Birni-N'Konni Airport,closed,NE,13.8015,5.24236,846.0,no
NG-0001,Agbara-Otor Airport,closed,NG,5.538911,6.088,43.0,no
NG-0002,Kainji Air Base,small_airport,NG,9.895279,4.484224,689.0,no
NG-0007,Lokoja Airstrip,small_airport,NG,7.801829,6.582793,320.0,no
NG-0010,Mazi Alex Otti Heliport,heliport,NG,5.38936,7.90098,652.5,no
NG-0012,Agip Heliport,heliport,NG,4.7992,6.97343,652.5,no
NG-0013,Exxon Mobil Aba Road Estate Heliport,heliport,NG,4.86782,7.08422,652.5,no
NG-0014,Daura Heliport,heliport,NG,13.05149,8.30958,652.5,no
NG-0016,June 12 Cultural Centre Abeokuta Helipad,heliport,NG,7.1356,3.35426,652.5,no
NG-0017,Jaji Airport,small_airport,NG,10.833636,7.538232,2244.0,no
NG-0020,Aso Rock Heliport,heliport,NG,9.060744,7.515767,652.5,no
NG-0021,Maryland Heliport,heliport,NG,6.572639,3.366441,95.0,no
NG-0022,Moshood Abiola National Stadium Helipad,heliport,NG,9.037663,7.450715,652.5,no
NG-0023,AMSH Helipad,heliport,NG,7.601521,5.307133,652.5,no
NG-0024,Bacita Airstrip,small_airport,NG,9.0421,4.9188,489.0,no
NG-0025,Forçados Terminal Heliport,heliport,NG,5.35986,5.35239,11.0,no
NG-0026,Kainji Airfield,small_airport,NG,9.8927,4.6133,690.0,no
NG-0027,Banana Island Helipad,heliport,NG,6.455749,3.460081,10.0,no
NG-BCU,Bauchi Airport,small_airport,NG,10.294402,9.816672,1998.0,no
SN-0002,Abéné Airfield,closed,SN,13.0101,-16.7213,85.0,no
SN-0003,Djilor Pout Pout Airport,small_airport,SN,14.0866,-16.6659,85.0,no
SN-0005,Diourbel Airfield,closed,SN,14.651477,-16.187325,85.0,no
SN-0007,Eknes Airfield,closed,SN,14.729636,-17.237978,85.0,no
SN-0008,Kolda Airport,closed,SN,12.880881,-14.954152,85.0,no
